"major_head","head_name","head_name_en","Category","level","year","value"
"2029",NA,NA,"Other","Detail","2022-23",0
"2029",NA,NA,"Other","Detail","2023-24 (BE)",0
"2029",NA,NA,"Other","Detail","2023-24 (RE)",108.82
"2029",NA,NA,"Other","Detail","2024-25",184.29
"2070",NA,NA,"Other","Detail","2022-23",0
"2070",NA,NA,"Other","Detail","2023-24 (BE)",0
"2070",NA,NA,"Other","Detail","2023-24 (RE)",491.03
"2070",NA,NA,"Other","Detail","2024-25",1084.1
"2202",NA,NA,"Other","Detail","2022-23",0
"2202",NA,NA,"Other","Detail","2023-24 (BE)",0
"2202",NA,NA,"Other","Detail","2023-24 (RE)",472.41
"2202",NA,NA,"Other","Detail","2024-25",1440
"2217",NA,NA,"Other","Detail","2022-23",0
"2217",NA,NA,"Other","Detail","2023-24 (BE)",0
"2217",NA,NA,"Other","Detail","2023-24 (RE)",29868.52
"2217",NA,NA,"Other","Detail","2024-25",37238.15
"3475",NA,NA,"Other","Detail","2022-23",0
"3475",NA,NA,"Other","Detail","2023-24 (BE)",0
"3475",NA,NA,"Other","Detail","2023-24 (RE)",393.15
"3475",NA,NA,"Other","Detail","2024-25",400.63
"3475",NA,NA,"Other","Other","2022-23",0
"3475",NA,NA,"Other","Other","2023-24 (BE)",0
"3475",NA,NA,"Other","Other","2023-24 (RE)",31333.93
"3475",NA,NA,"Other","Other","2024-25",40347.17
"4059",NA,NA,"Other","Detail","2022-23",0
"4059",NA,NA,"Other","Detail","2023-24 (BE)",0
"4059",NA,NA,"Other","Detail","2023-24 (RE)",2888.54
"4059",NA,NA,"Other","Detail","2024-25",2599.69
"1700",NA,NA,"Other","Detail","2022-23",0
"1700",NA,NA,"Other","Detail","2023-24 (BE)",0
"1700",NA,NA,"Other","Detail","2023-24 (RE)",0
"1700",NA,NA,"Other","Detail","2024-25",7200
"4216",NA,NA,"Other","Detail","2022-23",0
"4216",NA,NA,"Other","Detail","2023-24 (BE)",0
"4216",NA,NA,"Other","Detail","2023-24 (RE)",2000
"4216",NA,NA,"Other","Detail","2024-25",4034.62
"4217",NA,NA,"Other","Detail","2022-23",0
"4217",NA,NA,"Other","Detail","2023-24 (BE)",0
"4217",NA,NA,"Other","Detail","2023-24 (RE)",495962.57
"4217",NA,NA,"Other","Detail","2024-25",590225.9
"4250",NA,NA,"Other","Detail","2022-23",0
"4250",NA,NA,"Other","Detail","2023-24 (BE)",0
"4250",NA,NA,"Other","Detail","2023-24 (RE)",11.58
"4250",NA,NA,"Other","Detail","2024-25",44
"6217",NA,NA,"Other","Detail","2022-23",0
"6217",NA,NA,"Other","Detail","2023-24 (BE)",0
"6217",NA,NA,"Other","Detail","2023-24 (RE)",89845
"6217",NA,NA,"Other","Detail","2024-25",66050
"6217",NA,NA,"Other","Other","2022-23",0
"6217",NA,NA,"Other","Other","2023-24 (BE)",0
"6217",NA,NA,"Other","Other","2023-24 (RE)",589819.15
"6217",NA,NA,"Other","Other","2024-25",670154.21
"6217",NA,NA,"Other","Other","2022-23",0
"6217",NA,NA,"Other","Other","2023-24 (BE)",0
"6217",NA,NA,"Other","Other","2023-24 (RE)",621153.08
"6217",NA,NA,"Other","Other","2024-25",710501.38
